,classes,X_UMAP,Y_UMAP,Z_UMAP
10430,monocyte,-0.43117353,5.131773,9.645182
10875,monocyte,0.35003322,5.553207,10.729652
10170,monocyte,0.14558065,5.308405,9.812216
10109,monocyte,0.015108497,5.3063045,9.699732
9914,monocyte,-0.48017833,5.3213425,9.766241
10566,monocyte,-0.12907624,4.950468,10.3716955
10510,monocyte,0.5841182,6.1030965,10.691851
10492,monocyte,-0.11677276,5.261638,10.38727
10029,monocyte,-0.077685416,5.0802917,9.747384
10378,monocyte,0.3107191,5.0343213,9.838057
10472,monocyte,-0.059135888,5.3049297,10.491933
10217,monocyte,-0.08077882,5.1814075,10.690427
11187,monocyte,0.5564581,5.642265,9.910851
10544,monocyte,-0.08167113,5.3100595,10.494126
11256,monocyte,1.7016509,6.19421,8.404802
10359,monocyte,1.4114683,5.8062644,9.251763
10192,monocyte,-0.061199576,6.3004127,10.20422
10608,monocyte,0.5717029,6.26389,9.085064
10721,monocyte,0.07197905,6.1304345,10.5897255
11124,monocyte,0.4752197,5.560681,9.663949
10536,monocyte,0.6884794,5.932348,8.577357
10882,monocyte,-0.2578005,5.6024666,10.528632
10619,monocyte,0.69084567,5.984482,9.646823
10050,monocyte,0.18153141,5.1844716,9.706245
10465,monocyte,-0.42619473,5.4431295,10.455847
10291,monocyte,0.05654727,5.5314965,9.15271
11074,monocyte,-0.029305357,5.2657127,9.429506
10239,monocyte,0.5306208,5.1780157,9.634206
10950,monocyte,-0.07486367,4.859125,10.295014
10684,monocyte,0.34741607,5.463759,10.618473
10290,monocyte,0.75895417,6.689844,10.268452
10450,monocyte,-0.32395032,5.4659634,10.430983
12884,neutrophil,0.48661098,5.998594,9.014036
13021,neutrophil,1.9912235,6.081181,9.818349
11852,neutrophil,2.926164,7.4300156,8.14517
12971,neutrophil,1.2293528,6.111508,10.103368
13824,neutrophil,2.1596134,7.936753,8.181698
14183,neutrophil,-0.23826233,5.2340198,10.842042
12432,neutrophil,1.316648,6.630108,10.242453
13462,neutrophil,2.224978,5.9208126,8.760872
13916,neutrophil,1.5653205,6.4807224,10.178662
12655,neutrophil,2.2423818,8.092543,8.220193
12394,neutrophil,2.573554,7.5520034,8.347322
11559,neutrophil,1.5323544,5.9486446,9.764441
14208,neutrophil,2.4940245,6.7008524,9.052337
13113,neutrophil,0.07102326,5.5918694,10.209702
12774,neutrophil,3.1204681,7.832347,7.8272967
13995,neutrophil,1.7760333,6.3971176,9.836185
11399,neutrophil,2.5213323,7.352841,8.128325
12058,neutrophil,2.4073431,7.4174256,8.920554
12098,neutrophil,2.6546113,7.654276,8.675707
11780,neutrophil,1.9686812,6.677897,8.766044
11851,neutrophil,1.3513908,5.7493286,9.17361
12332,neutrophil,0.70739704,5.189547,9.4316435
11447,neutrophil,3.310091,6.848651,8.543359
13479,neutrophil,2.8321354,6.2621646,9.106315
12075,neutrophil,3.025441,7.574621,8.034413
11673,neutrophil,0.95105326,5.913958,9.034004
12849,neutrophil,2.955034,7.236196,8.457327
14166,neutrophil,1.5725199,6.3998427,10.084554
13836,neutrophil,3.5695887,7.0184016,8.802136
12885,neutrophil,2.7784917,7.672825,8.598639
13457,neutrophil,2.607057,7.4271507,8.698648
13319,neutrophil,1.5996048,5.7807918,9.295256
11765,neutrophil,2.5477312,7.4808373,8.228569
12464,neutrophil,2.3236148,7.8959193,8.172468
12504,neutrophil,-0.09444113,5.5004506,9.205313
12203,neutrophil,2.8756537,7.6691213,8.589308
13663,neutrophil,2.8330543,6.5533533,8.9595
12731,neutrophil,3.473617,8.153362,7.7770424
12547,neutrophil,2.368774,6.9890156,8.911922
12541,neutrophil,2.1398287,6.8663325,9.022276
13043,neutrophil,2.123412,6.4592595,8.630671
13291,neutrophil,2.665115,7.833053,8.183668
14487,neutrophil,1.0723851,5.9703326,8.9992285
11355,neutrophil,2.2646015,6.5762506,9.69942
12041,neutrophil,2.3224936,7.787678,8.379785
13551,neutrophil,2.5394444,5.880514,8.9805355
11388,neutrophil,2.7440572,7.730217,8.2960205
14493,neutrophil,2.298105,7.8299804,8.352646
13009,neutrophil,3.1351807,6.7052774,9.12231
14092,neutrophil,2.5408962,7.711376,7.8986425
14272,neutrophil,2.4590843,7.952573,8.382537
14125,neutrophil,0.723763,5.9263115,9.538476
12103,neutrophil,0.93432647,5.530382,8.953998
14017,neutrophil,2.4379406,7.467105,8.520968
13353,neutrophil,2.4167325,6.781425,8.928691
14089,neutrophil,1.845197,6.735159,8.415562
13545,neutrophil,1.8370048,5.9062934,9.732469
13690,neutrophil,3.3019211,7.2053323,8.814715
12572,neutrophil,1.7826831,6.4753027,9.697181
12985,neutrophil,3.0275352,6.598642,9.043482
14251,neutrophil,2.4887838,7.9105926,8.476659
12322,neutrophil,3.1954815,8.07539,8.261552
13822,neutrophil,2.322534,6.4928007,9.402016
13383,neutrophil,2.506925,5.8792586,9.226208
11675,neutrophil,1.140246,5.722708,8.924131
12002,neutrophil,3.4566,7.7374163,7.695905
13367,neutrophil,2.0893764,6.393003,9.823744
11568,neutrophil,1.286739,5.981422,9.512328
13816,neutrophil,1.7611288,6.333188,9.662018
13240,neutrophil,1.1919856,5.011297,9.660278
12354,neutrophil,3.6219683,6.868519,8.688917
11694,neutrophil,2.2847652,8.048547,8.147496
13738,neutrophil,1.9711707,6.8081636,8.744492
11648,neutrophil,2.2095466,7.143547,8.954399
14273,neutrophil,0.8681946,5.3692865,9.928207
12873,neutrophil,3.423456,7.67958,8.411358
12580,neutrophil,-0.09097632,5.13418,9.692025
11307,neutrophil,1.6704068,6.52921,9.010618
12517,neutrophil,2.3053787,7.3841295,8.209133
11426,neutrophil,1.8990353,5.768036,9.603578
13818,neutrophil,2.5398529,6.374774,9.170937
12144,neutrophil,1.6771029,6.1672716,9.269406
12611,neutrophil,1.3084924,6.608025,9.56223
11965,neutrophil,2.507243,6.290127,8.838039
13033,neutrophil,1.2244225,5.488903,9.566088
11269,neutrophil,1.354191,6.4105487,10.138438
12181,neutrophil,1.6951485,6.617847,9.236964
12255,neutrophil,2.0760136,6.832912,8.767902
14281,neutrophil,2.5145812,7.383416,8.756195
14007,neutrophil,2.0642297,7.4976296,8.495199
12078,neutrophil,1.8617389,6.306407,8.93905
11727,neutrophil,1.9352574,5.8227463,9.688194
12005,neutrophil,2.387519,7.8797836,8.428601
14447,neutrophil,3.262232,5.885185,8.84357
14491,neutrophil,3.666219,7.6054463,8.2002535
14319,neutrophil,2.8589551,6.3815794,9.194175
12682,neutrophil,2.8344152,7.652719,8.01674
13413,neutrophil,2.4026165,6.105767,8.53779
13368,neutrophil,2.971318,6.713804,8.814026
12128,neutrophil,0.7872652,6.5457444,8.7261715
14712,platelet,5.37691,10.243318,6.3751564
15582,platelet,5.203134,9.355938,6.3017035
15556,platelet,5.110734,9.9484625,6.1985497
15008,platelet,5.022747,9.954945,6.0581746
16372,platelet,5.6771083,9.979092,6.1046667
14632,platelet,5.186166,9.6459,6.600874
16053,platelet,5.279531,9.905595,6.5753593
16506,platelet,4.747835,9.267866,6.192916
16240,platelet,5.4078403,10.115586,6.391706
14930,platelet,5.48312,9.971019,6.1140933
16448,platelet,5.3765235,10.032669,6.0714726
16614,platelet,4.82688,10.031634,6.368772
14793,platelet,5.3533983,10.145119,6.4730687
15929,platelet,5.365019,10.140964,6.206554
15237,platelet,4.1456566,7.7690434,7.795693
15151,platelet,4.9969497,9.790722,6.3497047
14808,platelet,4.9830785,10.252571,6.1794395
14674,platelet,5.2259607,10.010701,5.8141603
14759,platelet,4.7866764,9.16387,6.9476843
14917,platelet,5.549692,9.762152,6.378572
16577,platelet,5.1665864,9.630464,6.54991
16702,platelet,5.313658,10.091898,6.193941
15873,platelet,4.920716,10.179374,6.100208
15466,platelet,5.2460294,9.94962,6.49467
15033,platelet,4.883245,9.842217,6.6886983
16377,platelet,5.09134,9.5697365,5.957376
14817,platelet,4.5643473,8.93482,7.0746036
15284,platelet,5.555686,9.992523,6.227929
15386,platelet,4.9836698,9.283455,6.4674373
15415,platelet,5.18331,9.848236,5.828349
15106,platelet,5.2117143,9.944608,6.1663485
16326,platelet,4.8901362,9.435504,6.338489
14840,platelet,5.0622115,9.554763,5.8195825
14849,platelet,5.516956,10.250422,6.2566996
15976,platelet,5.0523386,9.401514,6.561703
16591,platelet,5.4057636,9.626165,6.375615
16570,platelet,5.034187,10.236037,6.3301835
16015,platelet,5.0477247,10.086653,6.072047
16156,platelet,5.4225793,9.883704,6.1950116
15561,platelet,5.250334,9.731182,6.6491356
15936,platelet,5.4534435,10.059175,6.2762976
14844,platelet,5.093029,9.553792,5.985051
15319,platelet,5.5932145,10.204398,6.2181945
14549,platelet,5.0574765,10.351734,6.3700304
14592,platelet,5.1579514,9.881428,6.1235805
14548,platelet,5.541988,9.959863,6.4008894
15298,platelet,5.189114,9.492899,5.9515247
15111,platelet,4.6135497,9.665284,6.7273107
15937,platelet,5.3193603,10.144212,6.4100156
15964,platelet,4.9958444,9.961167,6.319417
16234,platelet,5.3113995,10.2369995,5.9625006
15109,platelet,5.0722075,10.135681,6.5220175
14676,platelet,4.757216,9.470414,6.0943236
16558,platelet,5.417736,9.798157,6.402628
14600,platelet,5.0075545,10.2467,6.32285
16319,platelet,5.2491727,10.150008,5.820966
14704,platelet,5.3309565,10.210699,6.3879557
15156,platelet,4.722958,9.640451,6.816771
14575,platelet,4.9933662,9.501607,6.004628
14696,platelet,4.7191477,9.282365,6.488257
14933,platelet,5.1625195,9.747146,6.6392303
14626,platelet,5.121364,10.404585,6.091078
16108,platelet,4.862865,9.746338,6.537599
15847,platelet,5.2245784,10.019937,6.431103
16689,platelet,5.2128043,9.539242,6.4925575
15263,platelet,5.3085318,9.850421,6.0218525
15286,platelet,5.10719,10.201584,5.9887075
16147,platelet,5.0603256,9.35086,6.3668594
16032,platelet,5.3264594,10.137711,6.0813274
14697,platelet,4.975621,9.254715,6.556487
14595,platelet,5.1865,9.795709,5.8512106
15314,platelet,5.5037165,10.060925,6.2142224
15031,platelet,4.756465,9.74888,6.6496654
15173,platelet,4.9894133,9.582654,6.521155
16595,platelet,5.352898,9.8553705,6.3986125
16111,platelet,5.1197076,9.889203,6.3570504
16398,platelet,5.291719,10.147182,6.169882
16091,platelet,5.0496387,10.077902,6.3968134
15091,platelet,5.2019315,9.680935,5.986113
16133,platelet,5.1884236,9.945596,6.1521173
16085,platelet,5.186849,9.907726,5.852573
16393,platelet,5.2001963,9.714366,6.3236923
14721,platelet,5.1207514,10.13624,6.264765
15921,platelet,4.978368,10.096997,6.383143
14879,platelet,5.126231,9.964191,6.1422987
15700,platelet,5.5756435,9.820235,6.3821435
16203,platelet,5.3811646,10.260066,6.103898
16217,platelet,5.212644,9.672191,5.9587016
16674,platelet,5.441929,10.229199,6.1103673
16336,platelet,5.120982,10.284968,6.101305
16281,platelet,5.015154,9.818923,6.2302027
15549,platelet,5.32066,10.111523,5.978014
16420,platelet,5.4629035,9.991256,6.145398
14742,platelet,5.212311,9.952845,6.278691
15136,platelet,5.1259613,9.818384,6.394448
15253,platelet,5.4542193,10.107385,6.0914836
15641,platelet,5.3289967,9.789318,6.47887
16443,platelet,4.69832,9.035917,7.063685
16373,platelet,4.680286,9.167069,6.495217
15753,platelet,4.7763066,9.365579,6.229536
